date,transaction_id,type,amount,category,description
2026-07-10,TXN_00064,INFLOW,825.27,Sales,Daily customer sales revenue
2026-07-10,TXN_00065,OUTFLOW,90.12,Overhead,Daily operating expenses
2026-07-11,TXN_00066,INFLOW,189.8,Sales,Daily customer sales revenue
2026-07-11,TXN_00067,OUTFLOW,74.19,Overhead,Daily operating expenses
2026-07-12,TXN_00068,INFLOW,153.6,Sales,Daily customer sales revenue
2026-07-12,TXN_00069,OUTFLOW,71.79,Overhead,Daily operating expenses
2026-07-13,TXN_00070,INFLOW,598.45,Sales,Daily customer sales revenue
2026-07-13,TXN_00071,OUTFLOW,118.85,Overhead,Daily operating expenses
2026-07-13,TXN_00072,OUTFLOW,800.0,Suppliers,Weekly inventory restocking
2026-07-14,TXN_00073,INFLOW,448.81,Sales,Daily customer sales revenue
2026-07-14,TXN_00074,OUTFLOW,65.85,Overhead,Daily operating expenses
